,station,lat,lon,weatherfont,weathersymbol,weathercolour,wwletter
285,LIRA,41.7994,12.5949,,,,1110003600100002000300004000051000600007000080000
286,LIRF,41.8045,12.2508,,,,1110003600100002000300004000051000600007000080000
287,LIRQ,43.81,11.2051,,,,1110003600100002000300004000051000600007000080000
288,EBLG,50.6374,5.44322,,,,1110003600100002000300004000051000600007000080000
289,ENBV,70.8714,29.0342,36.0,h,magenta,1110003600100002000300004000051000600007000080000
290,ENEV,68.4913,16.6781,,,,1110003600100002000300004000051000600007000080000
291,ENHF,70.6797,23.6686,36.0,h,magenta,1110003600100002000300004000051000600007000080000
292,ENKB,63.1118,7.82452,36.0,q,green,1110003600100002000300004000051000600007000080000
293,ENKR,69.7258,29.8913,36.0,1,,1110003600100002000300004000051000600007000080000
294,ENNA,70.0688,24.9735,36.0,l,magenta,1110003600100002000300004000051000600007000080000
295,ENRA,66.3639,14.3014,,,,1110003600100002000300004000051000600007000080000
296,LGAD,37.9207,21.2926,,,,1110003600100002000300004000051000600007000080000
297,LGKL,37.0683,22.0255,,,,1110003600100002000300004000051000600007000080000
298,LGTS,40.5197,22.9709,,,,1110003600100002000300004000051000600007000080000
299,LIBD,41.1389,16.7606,,,,1110003600100002000300004000051000600007000080000
300,LIBR,40.6576,17.947,36.0,r,green,1110003600100002000300004000051000600007000080000
301,LICC,37.4668,15.0664,,,,1110003600100002000300004000051000600007000080000
302,LICJ,38.176,13.091,,,,1110003600100002000300004000051000600007000080000
303,LIPH,45.6484,12.1944,,,,1110003600100002000300004000051000600007000080000
304,LIPQ,45.8275,13.4722,36.0,^,green,1110003600100002000300004000051000600007000080000
305,LIPR,44.0203,12.6117,36.0,^,green,1110003600100002000300004000051000600007000080000
306,LIPZ,45.5053,12.3519,,,,1110003600100002000300004000051000600007000080000
307,LOWG,46.9911,15.4396,36.0,^,green,1110003600100002000300004000051000600007000080000
308,ENAT,69.9761,23.3717,,,,1110003600100002000300004000051000600007000080000
309,ENBL,61.3911,5.75694,,,,1110003600100002000300004000051000600007000080000
310,ENML,62.7447,7.2625,36.0,',green,1110003600100002000300004000051000600007000080000
311,LGEL,38.0638,23.556,,,,1110003600100002000300004000051000600007000080000
312,LGKP,35.4214,27.146,,,,1110003600100002000300004000051000600007000080000
313,LGMT,39.0567,26.5983,,,,1110003600100002000300004000051000600007000080000
314,LGSA,35.5317,24.1497,,,,1110003600100002000300004000051000600007000080000
315,LGSK,39.1771,23.5037,,,,1110003600100002000300004000051000600007000080000
316,LGSM,37.69,26.9117,,,,1110003600100002000300004000051000600007000080000
317,LIEA,40.6321,8.29077,,,,1110003600100002000300004000051000600007000080000
318,LIEO,40.8987,9.51763,,,,1110003600100002000300004000051000600007000080000
319,LIPX,45.3957,10.8885,36.0,^,green,1110003600100002000300004000051000600007000080000
320,LIRP,43.6839,10.3927,,,,1110003600100002000300004000051000600007000080000
321,LOWI,47.2602,11.344,,,,1110003600100002000300004000051000600007000080000
322,LOWK,46.6425,14.3377,36.0,^,green,1110003600100002000300004000051000600007000080000
323,LOWL,48.2332,14.1875,,,,1110003600100002000300004000051000600007000080000
324,LOWS,47.7933,13.0043,,,,1110003600100002000300004000051000600007000080000
325,LOWW,48.1103,16.5697,36.0,T,green,1110003600100002000300004000051000600007000080000
326,EGBJ,51.8942,-2.16722,,,,1110003600100002000300004000051000600007000080000
327,EGSC,52.205,0.175,,,,1110003600100002000300004000051000600007000080000
